Squad;# Pl;Poss;Poss against;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alaves;30;41.8;58.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almeria;35;46.4;53.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ath Bilbao;27;49.8;50.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ath Madrid;27;50.8;49.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barcelona;29;64.3;35.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betis;35;50.4;49.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cadiz;34;43.3;56.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Celta;31;46.1;53.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Getafe;33;44.8;55.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Girona;25;56.9;43.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Granada;40;45.6;54.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Las Palmas;29;59.2;40.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mallorca;25;45.0;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Osasuna;29;47.5;52.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Real Madrid;26;49.4;50.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sevlla;27;59.2;40.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sociedad;31;55.3;44.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valencia;35;50.3;49.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vallecano;29;44.3;55.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Villareal;32;49.6;50.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;